map_name,seed,num_agents,solver,task_frequency,task_num,solved,service_time,makespan,comp_time
warehouse.map,91,40,PIBT,0.2,500,1,23.66,2636,20
warehouse.map,96,40,PIBT,0.2,500,1,23.876,2353,18
warehouse.map,97,40,PIBT,0.2,500,1,23.86,2582,20
warehouse.map,98,40,PIBT,0.2,500,1,23.416,2455,19
warehouse.map,99,40,PIBT,0.2,500,1,24.346,2556,20
warehouse.map,0,50,PIBT,0.2,500,1,23.766,2774,25
warehouse.map,1,50,PIBT,0.2,500,1,23.75,2535,24
warehouse.map,2,50,PIBT,0.2,500,1,23.858,2514,24
warehouse.map,3,50,PIBT,0.2,500,1,23.928,2410,23
warehouse.map,28,50,PIBT,0.2,500,1,23.148,2492,23
warehouse.map,29,50,PIBT,0.2,500,1,22.716,2549,24
warehouse.map,30,50,PIBT,0.2,500,1,24.048,2546,24
warehouse.map,31,50,PIBT,0.2,500,1,23.85,2858,26
warehouse.map,16,50,PIBT,0.2,500,1,23.902,2478,22
warehouse.map,17,50,PIBT,0.2,500,1,24.008,2596,24
warehouse.map,18,50,PIBT,0.2,500,1,23.194,2462,23
warehouse.map,19,50,PIBT,0.2,500,1,23.218,2270,22
warehouse.map,12,50,PIBT,0.2,500,1,22.69,2551,23
warehouse.map,13,50,PIBT,0.2,500,1,23.342,2627,24
warehouse.map,14,50,PIBT,0.2,500,1,23.414,2185,20
warehouse.map,15,50,PIBT,0.2,500,1,24.61,2564,22
